id;name;sales_manager_id;country_id;partner_status;contact_person;contract_email;industry_id;signer;signer_position;legal_adress;registration_number;base_of_activity_id;vat_number;bank_name;bank_adress;swift_code;iban_code;lifecycle_status
1;reciprocal withdrawal;47270;Dollar architecture сенсорный;true;переопределение порт;envisioneer;консультант world-class Adaptive;конденсатор брандмауэр;iterate;онлайн Account global;Account superstructure интеграционный;Волгоградская Районный e-markets;Бетонный Хлопковый Неодимовый;Кулон;индексировать Эргономичный;музыка paradigms;Национальный;ACTUAL
2;Hryvnia context-sensitive Пластиковый;32891;сенсорный;false;оптимизационный Генеральный;payment;округ оптический;migration Пластиковый Маленький;Пряжа Великолепный Стол;Ремень;Market Интеллектуальный;back-end Cambridgeshire Хлопковый;wireless RSS Практичный;агент Account функциональный;Checking;механизм;Международный cutting-edge Account;DELETED
3;bricks-and-clicks magnetic invoice;64220;Bedfordshire инженер reinvent;true;e-markets архивирование;Шарф withdrawal Берет;Savings запрограммировать переопределить;Dinar withdrawal экспортировать;вычислить;revolutionary блок;брандмауэр;Рязанская Мьянма;область Вьетнам;Account Майка;next;красота;НМЖД;DELETED
4;convergence Berkshire Customizable;45215;Colon Кулон;false;payment deploy;morph Свободный eyeballs;Игрушки 24/7 ОЗУ;Игрушки коммуникационный;соединение Leu implement;full-range;разбор Bedfordshire;оптический secondary Доминиканская;ХЗ оптимизационный;бирюзовый область;Клатч беспроводной твердотельный;Front-line ПО;Свободный взломать Глобальный;ACTUAL
5;Кепка;82004;Нижегородская;false;hierarchy Кирибати Невероятный;vortals Шарф;interfaces Хлопковый;пр.;Стол;experiences пр. Кепка;Sharable SAS Networked;Buckinghamshire throughput площадь;операционный Великобритания deliver;оптимизационный;Компьютер Острова deposit;Бутан Словакия;улица Checking Дом;DELETED
6;Украина синтезировать Kyat;69776;Великолепный пл.;false;операционный Автомобиль;Маленький вспомогательный ключ;специалист e-business;Borders специалист Kina;channels;Checking консультант;Expanded Cambridgeshire;промышленное красота;deliver;withdrawal;индексирование функциональный;код квантифицировать мобильный;scalable;DELETED
7;Checking;19753;Avon Configurable цифровой;true;брандмауэр;ввести оптимизационный монитор;markets;User-friendly monetize Monitored;project infomediaries;next-generation Глобальный Bedfordshire;сжатие;Omani incubate;ул.;Центральный deposit;target;Автомобиль;Buckinghamshire Кирибати e-business;ACTUAL
8;Малави B2B;33484;Большой Клатч;true;engineer Свитер Streamlined;RSS Стул;Дом system Гранитный;копирование Маленький Reduced;Cambridgeshire Customizable;tangible enable зеленый;операционный нейронный;Армения Интеллектуальный область;radical invoice ADP;промышленное;Международный;schemas Гранитный взлом;Guilder;DELETED
9;программирование Kwanza Гранитный;70817;пр. Канада руководитель;false;СУБД;оптический Главный переопределение;разобрать сжать площадь;Плащ менеджер e-business;payment;операционный Пластиковый;intangible Региональный;Money инженер;Гранитный Лоснящийся wireless;Генеральный;—;Grass-roots Резиновый;Региональный ХЗ;DELETED
10;Республика COM supply-chains;72938;Лоснящийся Сахалинская withdrawal;false;deposit;автономный;group Генеральный;НМЖД;Virtual переопределение Tugrik;логистический;convergence;ул. B2C;Account Портмоне Адыгея;Сабо client-server;Маленький;Фильмы Ножницы оранжевый;ввести SAS;ACTUAL
