id;contract_id;project_id;subcontract_cipher;status_id;cooperation_type_id;sum;positions;currency_id;payment_term_type_id;payment_term_id;start_date;finish_date;type_id;taskt_type_id;technology_id;domen_id;link;lifecycle_status
1;20049;20949;Customer-focused;mesh пл.;integrate красный Digitized;63314;61553;Money;интеграционный ПО withdrawal;здоровье;2022-05-19;2022-05-18;многобайтный;туризм;client-server;Куртка импортировать функциональный;reintermediate system-worthy аналитик;ACTUAL
2;58152;37004;systematic Berkshire;Автомобильное Canadian Автомобильное;Avon;2909;13165;Перу;Албания;firmware initiatives Региональный;2022-05-18;2022-05-18;deposit туризм Digitized;Кошелек Гранитный;systemic payment PNG;беспроводной;Стальной область;ACTUAL
3;66742;72676;желтый Хлопковый;Мозамбик Хлопковый Лоснящийся;SSL архитектор Кожанный;37279;72202;массив;функциональный кортеж ул.;grid-enabled interface foreground;2022-05-18;2022-05-18;reintermediate индексирование Ингушетия;Polarised bricks-and-clicks;Dollar;область;Ботинок innovative;DELETED
4;31416;55234;проспект страховой customized;end-to-end COM SDD;Rufiyaa;54084;61937;оператор;интеграционный SAS;Маленький loyalty Автомобиль;2022-05-18;2022-05-19;Кожанный;округ брандмауэр конденсатор;Down-sized сине-фиолетовый;tertiary Эстония Хлопковый;Эргономичный;ACTUAL
5;25877;59213;Лоснящийся;Центральный Псковская;Гранитный;76838;98051;Пластиковый Фантастический Деревянный;кросс-платформенный;SAS adapter лимонный;2022-05-19;2022-05-18;порт Великолепный Belarussian;желто-коричневый лимонный;deposit Ведущий Гвинея;излишний Ивановская;улица virtual;DELETED
6;73364;74111;округ withdrawal пл.;payment SMTP;Танзания свободно-распростроняемый;44791;78916;Дом;AGP;многобайтный;2022-05-19;2022-05-19;микрочип;bi-directional synthesize Franc;Архангельская enterprise;deposit;Bedfordshire;ACTUAL
7;70362;59187;Майка область;кросс-платформенный;Афганистан многобайтный;87668;3403;ввести Account;software Reactive static;payment Кожанный;2022-05-18;2022-05-18;Ножницы;техник;Forint e-commerce;Меха empower attitude-oriented;deposit Avon;ACTUAL
8;39711;72648;сжатие Account rich;передатчик архивирование функциональный;solution-oriented Self-enabling Ведущий;6148;64792;мобильный ул.;пл. координатор best-of-breed;COM User-friendly ул.;2022-05-19;2022-05-18;Районный Programmable запрограммировать;content-based Berkshire rich;interfaces;твердотельный;Потрясающий Танзания передача;DELETED
9;55609;61614;улица;Loan;productize;95549;76112;навигация;синтез сжатие Rupee;продукт interactive;2022-05-18;2022-05-18;Reduced Компьютер улица;интеграционный Credit;Электроника виртуальный;Плащ Nakfa Майка;разобрать reinvent;DELETED
10;4097;85384;SMTP страховой;интеграционный ключ игры;кросс-платформенный разобрать виртуальный;41238;77837;ПО область;парсер навигировать seamless;проспект e-business Областной;2022-05-19;2022-05-18;Сальвадор кортеж;Главный Кошелек;real-time поглотитель defect;агент область переопределить;Натуральный;ACTUAL
